browser_natural_idle,os_natural_idle,browser_machine_idle,os_machine_idle,browser_natural_maximum_normal,os_natural_maximum_normal,browser_machine_maximum_normal,os_machine_maximum_normal,browser_natural_medium_abovenormal,os_natural_medium_abovenormal,browser_machine_medium_abovenormal,os_machine_medium_abovenormal,browser_natural_busy_abovenormal,os_natural_busy_abovenormal,browser_machine_busy_abovenormal,os_machine_busy_abovenormal,type
13.880880000000047,13.880983399999998,9.772559999999999,9.7731709,13.687460000000101,13.6875657,9.950039999999944,9.950197199999998,12.547419999999875,12.5186472,10.494840000000295,10.481059199999999,14.872920000000022,14.8746699,9.95677999999998,9.956827400000002,keydown
13.974739999999997,13.9750148,9.782580000000053,9.783387900000001,13.773580000000038,13.7738564,9.960040000000163,9.9604088,12.612280000000055,12.6129535,10.49512000000027,10.491214099999999,14.98782,14.984745799999999,9.966700000000003,9.967057,keyup
14.182199999999966,14.182215799999998,9.988740000000007,9.989388899999998,13.996599999999944,13.996731,10.171639999999798,10.1715807,12.803699999999935,12.7957621,10.74234000000024,10.7285344,15.210540000000037,15.1833153,10.179319999999962,10.1794573,keydown
14.283819999999992,14.2841329,9.998700000000099,9.999605299999999,14.066820000000007,14.0670885,10.181439999999839,10.1817912,12.903919999999971,12.8900661,10.742600000000266,10.7386948,15.32231999999999,15.293444299999997,10.189239999999984,10.1896563,keyup
14.498960000000011,14.499230099999998,10.204799999999977,10.205569999999998,14.28988000000004,14.289922699999998,10.392759999999953,10.392927199999999,13.088360000000193,13.088898,10.980680000000348,10.951253800000002,15.542579999999987,15.4999136,10.395639999999958,10.395646200000002,keydown
14.600779999999986,14.6011153,10.21485999999993,10.2157512,14.367979999999989,14.3682518,10.40278000000012,10.403144599999997,13.182520000000068,13.183235,10.980999999999995,10.961411499999999,15.611559999999997,15.602169999999997,10.405619999999999,10.4058697,keyup
14.808340000000044,14.8085162,10.421060000000011,10.421699499999999,14.57490000000007,14.5751272,10.614059999999881,10.614212799999997,13.405240000000049,13.3740625,11.228240000000142,11.1986641,15.822040000000015,15.808698499999998,10.61161999999996,10.611761300000001,keydown
14.902100000000019,14.902408699999999,10.431040000000053,10.4319117,14.661180000000058,14.6614823,10.62404000000015,10.624426199999998,13.505499999999984,13.476396200000002,11.228500000000167,11.208834900000001,15.959280000000035,15.918818299999998,10.62143999999995,10.6219268,keyup
15.149220000000014,15.149465799999998,10.63725999999997,10.6379025,14.876280000000179,14.876371200000001,10.835219999999936,10.835497099999998,13.652720000000045,13.6512984,11.459900000000289,11.446112099999999,16.1755,16.1340702,10.843519999999955,10.843542500000002,keydown
15.235199999999963,15.235492399999998,10.647220000000061,10.6481499,14.922520000000077,14.922782900000001,10.845199999999977,10.8457036,13.75297999999998,13.7456157,11.460180000000264,11.4562714,16.280800000000056,16.2515206,10.853319999999997,10.8537316,keyup
