[  13] [failures: 98.29%]  | ['  3', '  0', '  3', ' 50', ' 20', '  0', '  0', '  0', '  0', '  1', '  0', ' 31', '197', '  0', '  0', '  0', '206', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  4']
[  14] [failures:  3.24%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 16', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  15] [failures: 13.52%]  | [' 15', '  0', '  0', '  4', '  1', '  0', '  0', '  1', '  1', '  0', '  0', '  0', '  0', '  0', ' 31', '  0', '  1', '  0', '  0', '  2', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', ' 13', '  0', '  1']
[  16] [failures:  3.05%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', ' 15', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  17] [failures:   0.0%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  18] [failures: 95.24%]  | ['  8', '  2', '  0', '120', '  0', '  0', '  0', '  0', '  7', '  8', '  1', '  0', '  0', '  0', '108', ' 63', '  7', '  1', '  0', '  5', '  6', '  0', '  0', ' 14', ' 17', ' 10', '  1', '  0', '119', '  0', '  3']
[  19] [failures:  3.43%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', ' 10', '  0', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  3', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  2', '  0', '  0']
[  20] [failures:  30.1%]  | [' 79', '  0', '  0', '  0', ' 27', '  0', '  0', '  0', '  0', '  5', '  2', '  0', '  0', '  0', '  8', '  0', ' 17', '  0', '  1', '  0', '  0', '  1', '  0', '  0', '  0', '  4', '  0', '  0', '  0', '  0', ' 14']
[  21] [failures:  8.19%]  | [' 13', '  0', '  1', '  0', '  1', '  0', '  0', '  0', '  6', '  0', '  2', '  1', '  0', '  0', '  0', '  2', '  0', '  4', '  0', '  0', '  1', '  0', '  0', '  0', '  5', '  1', '  2', '  0', '  0', '  0', '  4']
[  22] [failures: 18.29%]  | ['  0', ' 25', '  0', '  4', ' 17', '  0', '  1', '  0', '  0', '  0', ' 38', '  0', '  0', '  0', '  3', '  0', '  5', '  0', '  1', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0']
