browser_isolated,browser_unisolated
100.14180000000488,100.2931499999977
100.58701799999837,100.40034699999524
100.08289900000092,100.43799500000024
100.40734999999404,100.4213510000045
100.41043000000354,100.2882299999983
100.35819400000037,100.4937379999974
100.38527700000122,100.52359499999876
100.34397799999716,100.35671300000833
100.37875899999926,100.26667199999793
100.83390599999984,100.3154130000039
99.91830800000751,100.671104999994
100.44742399999086,100.5212840000022
100.26795200000196,100.54811599999812
100.52331600000616,100.22674299999926
100.09503799999948,100.32734099999652
100.66777000000002,100.50184799999988
100.25341299999856,100.499579000003
100.45404399999823,100.39075299999968
100.30019799999718,100.44455200000084
100.48092100000213,100.31947699999728
100.41109000000142,100.37990600000194
100.72608999999647,100.50163800000156
99.89691499999752,100.3055400000012
100.50868500000796,100.2104210000034
100.4329299999954,100.64558299999044
100.12832299999718,100.27230500000589
100.5810730000012,100.37564099999872
100.22731500000371,100.3812259999977
100.57813700000406,100.12854900000092
100.1983529999925,100.6003039999996
100.46541300000536,100.39115300000412
100.19716699999115,100.93431099999724
100.40714900000604,99.82993900000292
100.4395330000043,100.55383099999744
100.30730599999517,100.19999000000098
100.2847729999994,100.74216899999738
100.53290099999867,100.23800399999892
100.28459000000294,100.60484800000268
100.26013799999782,100.18165299999964
100.74028000000544,100.80175400000007
100.50892299999396,100.4493220000004
100.24291600000288,100.42146800000046
100.32747899999958,100.31571299999632
100.42733099999896,100.2869720000017
100.7229129999978,100.63020099999994
99.97346700000344,100.16146899999876
100.47834199999488,100.4888820000051
100.2857290000029,100.42198499999358
100.28400600000168,100.33681100000103
100.51875599999768,100.41396900000107
100.48575800000252,100.2845260000031
100.08525999999983,100.35672299999716
100.64796200000274,100.87227600000188
100.25061699999787,99.92942700000276
100.2907269999996,100.69633899999462
100.2538149999964,100.42473500000052
100.40520200000174,100.4542860000074
100.4870379999993,100.3777379999956
100.4495820000011,100.16436299999624
100.4464420000004,100.3110119999983
100.15805300000648,100.46615000000747
100.63043199999083,100.4421799999982
100.40433900000062,100.44843099999709
100.38969300000464,100.28306400000292
100.35916100000031,100.36124399999972
100.32162199999584,100.46272899999894
100.23734600000172,100.3551559999978
100.30247099999542,100.30687600000238
100.58034700001008,100.27815600000032
100.50831799999288,100.55864599999768
100.26731100000325,100.4000870000018
100.47126699999352,100.29985899999885
100.337910000002,100.45654500000092
100.56189300000553,100.2271000000037
100.43400600000314,100.59633499999472
100.25045899999532,100.22836100000131
100.40157100000216,100.27716499999951
100.48386299999402,100.28282399999443
100.47449300000152,100.43840300000738
100.38469500000063,100.4907929999972
100.50603799999952,100.4108200000046
100.4203470000066,100.39588599999844
100.47768099999666,100.38810999999988
100.57976300000156,100.46751799999764
100.31418799999663,100.35106300000189
100.52947900000436,100.37628799999948
100.38048099999288,100.3783059999987
100.2718160000004,100.23797100000228
100.54350500000146,100.6135279999944
100.5891630000042,100.51340000000346
100.3299530000004,100.42030499999964
100.50520899999538,100.19520199999532
100.09247399999732,100.43523400000412
100.54063600000518,100.31334900000364
100.31006799999886,100.68537799999469
100.56050600000162,100.34906200000114
100.3577989999976,100.55206300000282
100.20227699999668,100.40947199999935
100.53963400000066,100.65343500000016
100.27419400000508,100.14708900000552
100.43807299999752,100.63876299999538
100.48079999999754,100.390916999997
100.2212290000025,100.38775500000338
100.28599299999767,100.20839100000012
100.41236200000276,100.410778999998
100.24028499999986,100.4713980000015
100.55246500000068,100.4945099999968
100.38986000000295,100.21879500000068
100.26601899999514,100.24547700000404
100.50781299999652,100.40346999999748
100.34910600000876,100.30787299999793
100.45241399999212,100.49452700000256
100.3551740000039,100.26405299999897
100.31865899999684,100.30065699999976
100.367508000003,100.49348100000498
100.55151599999954,100.3666999999914
100.3554340000046,100.4342969999998
100.64979799999855,100.44424200000503
100.2244389999978,100.4210929999972
100.11845300000276,100.59614500000316
100.48908399999344,100.301486999997
100.48085900000297,100.15676800000074
100.4034740000061,103.59398100000544
100.44624899999326,99.44990599999436
100.4014309999984,100.48422299999947
100.43556499999976,100.44246900000144
