browser_isolated_idle,browser_isolated_busy_abovenormal,browser_isolated_maximum_normal,browser_isolated_medium_abovenormal
100.53999999997905,110.87999999999738,102.14000000001396,122.72000000003028
100.29999999998836,110.77999999999884,103.45999999996276,115.6599999999744
100.46000000002095,110.26000000000204,101.18000000005122,131.6600000000326
100.20000000001164,111.63999999999942,101.93999999994412,115.53999999997905
100.55999999999769,119.62000000000262,109.96000000007916,116.5
99.8399999999674,119.41999999999824,100.05999999993946,106.3400000000256
101.04000000003724,115.59999999999854,100.69999999995343,131.7599999999511
100.29999999998836,106.26000000000204,99.80000000004657,131.46000000002095
100.03999999997905,116.09999999999854,101.1600000000326,115.85999999998604
100.67999999999302,115.4800000000032,101.14000000001396,115.72000000003028
100.55999999999769,100.55999999999769,101.27999999991152,122.9199999999837
100.44000000000231,116.04000000000087,99.90000000002328,115.70000000001164
100.0,100.40000000000146,101.18000000005122,131.46000000002095
100.60000000003492,115.25999999999476,100.26000000000931,115.95999999996276
100.51999999996042,116.08000000000176,100.95999999996276,115.76000000000931
100.3400000000256,115.58000000000176,100.07999999995808,106.76000000000931
100.76000000000931,107.09999999999854,100.94000000006054,131.67999999999302
100.11999999999534,115.86000000000058,100.52000000001864,130.8400000000256
100.76000000000931,100.72000000000116,100.88000000000466,116.63999999995576
99.9199999999837,115.33999999999652,101.95999999996276,115.55999999999769
100.40000000002328,116.13999999999942,100.78000000002794,123.2400000000489
100.17999999999302,100.30000000000292,106.38000000000466,115.09999999997672
101.01999999996042,115.76000000000204,104.29999999993017,131.40000000002328
100.3400000000256,100.09999999999854,116.02000000001864,116.07999999995808
100.59999999997672,115.95999999999913,100.64000000001396,116.05999999999769
100.22000000003028,115.86000000000058,107.19999999995343,106.40000000002328
100.29999999998836,122.94000000000231,102.5800000000745,131.6599999999744
100.53999999997905,99.69999999999708,99.29999999993017,131.54000000003725
100.54000000003724,115.95999999999913,100.56000000005588,116.05999999999769
99.70000000001164,101.20000000000437,101.04000000003724,115.61999999999534
101.32000000000698,114.8599999999933,100.63999999989755,122.6599999999744
100.19999999995343,115.86000000000058,100.34000000008382,115.72000000003028
100.40000000002328,100.44000000000231,106.03999999992084,132.01999999996042
99.9199999999837,116.45999999999913,100.52000000001864,115.32000000000698
101.05999999999769,115.30000000000292,100.76000000000931,115.96000000002095
100.35999999998604,122.25999999999476,100.23999999999069,106.21999999997206
100.72000000003028,100.68000000000028,100.56000000005588,132.20000000001164
100.1599999999744,115.44000000000231,100.0,131.52000000001863
100.5,101.27999999999884,101.15999999991618,115.70000000001164
100.2400000000489,114.76000000000204,99.76000000000931,115.79999999998836
100.55999999999769,100.5199999999968,101.06000000005588,122.6599999999744
99.7599999999511,115.70000000000437,100.02000000001864,115.86000000004424
100.92000000004192,116.73999999999796,101.02000000001864,131.61999999999534
100.26000000000931,115.20000000000437,116.39999999990688,115.8399999999674
100.63999999995576,106.97999999999593,101.92000000004192,115.94000000000231
99.96000000002095,110.40000000000146,99.92000000004192,106.5800000000163
100.94000000000231,110.63999999999942,101.23999999999069,131.94000000000233
100.09999999997672,113.18000000000028,99.73999999999069,131.14000000001397
100.8400000000256,108.5199999999968,100.61999999999534,115.94000000000231
100.35999999998604,102.28000000000613,101.04000000003724,116.13999999995576
100.35999999998604,100.83999999999652,100.59999999997672,122.1600000000326
100.0,108.63999999999942,100.40000000002328,115.73999999999069
100.76000000000931,134.37999999999738,100.88000000000466,131.79999999998836
100.29999999998836,96.42000000000552,100.63999999989755,115.1600000000326
100.7400000000489,111.73999999999796,107.90000000002328,116.6599999999744
99.97999999998136,109.22000000000116,100.3200000000652,106.47999999998136
100.71999999997206,104.29999999999563,101.43999999994412,132.46000000002095
99.96000000002095,100.18000000000028,102.04000000003724,130.71999999997206
100.85999999998604,106.68000000000028,101.88000000000466,116.0
100.23999999999069,121.76000000000204,100.35999999998604,116.20000000001164
100.88000000000466,117.40000000000146,101.07999999995808,122.23999999999069
100.10000000003492,105.63999999999942,100.47999999998136,115.72000000003028
100.6599999999744,110.72000000000116,100.88000000000466,131.61999999999534
100.32000000000698,111.0,99.96000000007916,115.46000000002095
