browser_natural_normal_50,os_natural_normal_50,browser_machine_normal_50,os_machine_normal_50,browser_natural_normal_75,os_natural_normal_75,browser_machine_normal_75,os_machine_normal_75,browser_natural_normal_100,os_natural_normal_100,browser_machine_normal_100,os_machine_normal_100,browser_natural_abovenormal_75,os_natural_abovenormal_75,browser_machine_abovenormal_75,os_machine_abovenormal_75,type
7.7942800000000005,7.7948576,8.84104000000002,8.841260300000002,6.989279999999999,6.989750300000001,9.31042,9.310804699999998,6.82144,6.8218598,9.072700000000001,9.0732891,5.79914,5.7995836999999995,9.208120000000001,9.208500399999998,keydown
7.8837399999999995,7.8843955999999995,8.985,8.9857145,7.084719999999999,7.0853132,9.436039999999998,9.436605499999999,6.916700000000001,6.9172999,9.204380000000004,9.205085,5.8891599999999995,5.8851744,9.308520000000001,9.3091981,keyup
8.06636,8.0669397,9.19926000000001,9.199762400000001,7.219899999999999,7.220165100000001,9.6497,9.650187200000001,7.092340000000001,7.0928054,9.41712,9.4177327,6.0522,6.0526046000000004,9.522060000000003,9.522529500000001,keydown
8.1416,8.1424097,9.290920000000014,9.291173700000002,7.337619999999999,7.3383255,9.74238,9.742956,7.186740000000001,7.1873352,9.60614,9.606814,6.138699999999999,6.1392098,9.62902,9.6295933,keyup
8.3524,8.3522771,9.495260000000016,9.4957311,7.59122,7.5917853,9.94398,9.944273599999999,7.357480000000002,7.357815499999999,9.820939999999997,9.8215199,6.28864,6.288797599999999,9.836079999999999,9.834859600000001,keydown
8.42468,8.4254502,9.683660000000003,9.684393,7.6968,7.697387900000001,10.136599999999998,10.1370079,7.43874,7.439359099999999,9.94846,9.949196700000002,6.3829400000000005,6.383233299999999,9.96584,9.9665036,keyup
8.61338,8.6139321,9.897480000000016,9.898084,7.973659999999999,7.969875399999999,10.35152,10.351031899999999,7.648780000000001,7.6488225,10.164640000000002,10.1649518,6.51228,6.512701399999999,10.17858,10.179055299999998,keydown
8.68522,8.685492100000001,10.083660000000009,10.084377100000001,8.03378,8.0344336,10.500879999999999,10.501455199999999,7.730440000000001,7.730506500000001,10.329579999999996,10.330315599999999,6.6039,6.6042559,10.294139999999999,10.294743399999998,keyup
8.8653,8.86591,10.290120000000016,10.290068000000002,8.27136,8.2718955,10.704739999999997,10.705203000000001,7.8815,7.881889899999999,10.541039999999999,10.541341899999999,6.73782,6.737673599999999,10.50678,10.5070892,keydown
8.93584,8.9365254,10.385720000000006,10.386453300000003,8.35676,8.3574404,10.80816,10.8086928,7.972840000000001,7.9734131,10.675880000000003,10.6766261,6.837979999999999,6.8385283,10.687819999999999,10.688481799999998,keyup
9.11152,9.1119929,10.587080000000014,10.5876783,8.50462,8.5049025,11.017599999999998,11.017966699999999,8.157399999999999,8.1578772,10.88446,10.884994500000001,6.9823200000000005,6.9828125,10.90362,10.898364399999998,keydown
9.17178,9.172526900000001,10.785780000000017,10.786469500000003,8.60674,8.607469,11.111019999999996,11.111552799999998,8.246860000000002,8.2474511,11.003939999999997,11.0046627,7.08074,7.0813071999999995,11.081980000000001,11.0825669,keyup
9.37348,9.3741287,10.990320000000011,10.9908398,8.73048,8.7309279,11.31456,11.314936499999998,8.399520000000003,8.3999506,11.21068,11.211241999999999,7.2312199999999995,7.2317333,11.28772,11.288126299999998,keydown
9.43688,9.4375637,11.179600000000008,11.180335500000002,8.8158,8.8164925,11.412219999999998,11.412768,8.485980000000001,8.486562,11.376319999999996,11.3770479,7.331779999999999,7.332345199999999,11.420380000000002,11.421041899999999,keyup
9.61038,9.6110392,11.392960000000016,11.393432,8.99844,8.998963,11.62782,11.628069199999999,8.651500000000002,8.6519335,11.58642,11.586981600000001,7.4752,7.4757394999999995,11.662479999999999,11.6322756,keydown
9.688759999999998,9.6895845,11.501960000000011,11.5026364,9.075759999999999,9.076519,11.740940000000002,11.7414929,8.738980000000002,8.7395101,11.70448,11.705207000000001,7.57576,7.5763675,11.7299,11.7305624,keyup
9.91968,9.9201091,11.70374000000001,11.704329400000002,9.19134,9.1919608,11.956000000000003,11.956367399999998,8.886580000000002,8.8869739,11.913700000000002,11.9142689,7.7243,7.7247758,11.954040000000003,11.932797399999998,keydown
10.001999999999999,10.0026969,11.814900000000009,11.815641900000003,9.2578,9.2585404,12.118099999999998,12.118698899999998,8.97888,8.9795277,12.062259999999998,12.062946499999999,7.835299999999999,7.8354058,12.05348,12.054021599999999,keyup
10.16274,10.1632693,12.016140000000021,12.0166875,9.42732,9.428001,12.328960000000002,12.329086,9.1406,9.1409905,12.273619999999998,12.2742875,7.99246,7.992846999999999,12.278379999999999,12.267627299999997,keydown
